x,y
-0.8295020640733171,-0.27286708306107305
-0.1678043478393434,0.42302766463821717
0.5839967928168978,-0.804594511178753
-0.9456269081937521,-0.2685749209099697
-0.28847032218975416,-0.3933387903522184
-2.8987890492424206,-2.0486789720406913
0.01819307355594435,-1.6818788372414444
0.40317293370364554,-0.3777745709207276
0.3162590345511087,0.9926956206947608
1.3909532519820231,0.8874248074050012
0.2532774129190738,-0.2841332475506788
-0.891266999865871,-1.003329242139299
-2.9578027841167334,-2.1272244972875343
-3.2150897017157933,-2.905980979189385
-3.9540491428635565,-4.05433138250512
-5.057628345365737,-4.291803319886909
-5.366102695409711,-5.904582565559042
-4.2349905692557375,-4.8370702548673155
-3.9198862551665212,-3.4282701371576083
-5.692411291383611,-5.753360657294371
-6.210462816472676,-5.943889038299059
-6.795660247510327,-5.934907894564794
-5.530341479939267,-7.6539458559429345
-3.563753656526406,-4.290145170735965
-3.148802465263422,-2.8981931862674957
-2.725711260148022,-3.545451750820644
-4.339178440933358,-4.781206742801896
-4.794661965360573,-4.783609120860914
-4.592800772193911,-5.223313259329317
-5.271270849698528,-4.0097122209803375
-2.4365485055797578,-3.4686951042357355
-0.7431351950134466,-2.13958334565399
-1.8378484223086908,-2.442936992549307
-1.7635314175860504,-2.196563353231563
0.08054274502143788,-0.6575554269692396
-0.8219030030778939,-1.6415643728283262
-1.5835180798259485,-1.6429002625704832
-3.0388889925842824,-1.501660818550658
-1.9130624850893905,-2.7402941572106
-1.1352945037809463,0.08397256452249957
-4.197140154892476,-3.524948200052549
-3.624899598992676,-2.9494686995464923
-5.293542496265798,-4.2969032502881035
-6.603542533693472,-7.300957820969501
-5.073237127186622,-7.036651913215564
-5.164410033737004,-6.2073870626319705
-4.997922900581632,-5.461572217518511
-5.873456819902715,-4.619141284799734
-5.379797263059473,-5.2449051162392495
-8.342221591619955,-6.293967772561982
-7.482207317830379,-7.775049774862293
-7.70684572805095,-7.585845440205242
-6.7079733779952235,-8.336902960232221
-5.1819332390695685,-6.64811876467021
-6.5413420377948315,-6.0941593458718355
-8.868561318106998,-7.668401519093786
